users,ads,scaled_ads,,
1745,9.7,0.020786263,,
1784,19,0.041798464,,
1809,9.35,0.019995481,,
1822,33,0.073429733,,
1837,18.6,0.040894713,,
1847,15.6,0.034116584,,
1848,27.3,0.060551288,,
1874,4.1,0.008133755,,
1888,3.7,0.007230005,,
1895,13.6,0.029597831,,
1926,13.8,0.030049706,,
1975,8,0.016945323,,
1984,21.6,0.047672842,,
1986,22.8,0.050384094,,
2006,13.85,0.030162675,,
2015,53.7,0.120198825,,
2016,68.6,0.153863534,,
2019,8.4,0.017849074,,
2074,14.9,0.03253502,,
2089,2.35,0.004179846,,
2119,57.45,0.128671487,,
2122,22.2,0.049028468,,
2144,19.2,0.042250339,,
2149,13.2,0.02869408,,
2153,112,0.25192047,,
2197,13.7,0.029823769,,
2222,8.5,0.018075011,,
2223,20.7,0.045639404,,
2233,25.4,0.056258473,,
2251,32.9,0.073203796,,
2252,26.8,0.0594216,,
2262,25.65,0.056823317,,
2275,2.65,0.004857659,,
2286,28.3,0.062810664,,
2294,25.8,0.057162223,,
2311,15.85,0.034681428,,
2316,12.4,0.026886579,,
2340,7.7,0.01626751,,
2343,17.9,0.03931315,,
2354,7.65,0.016154541,,
2382,13.3,0.028920018,,
2395,7.9,0.016719385,,
2400,18.65,0.041007682,,
2401,5.65,0.011635789,,
2423,18.45,0.040555807,,
2460,8.1,0.017171261,,
2482,14.9,0.03253502,,
2488,4.45,0.008924537,,
2493,10.1,0.021690014,,
2502,5.35,0.010957976,,
2526,8.8,0.018752824,,
2533,14.15,0.030840488,,
2534,8.4,0.017849074,,
2539,40.35,0.09003615,,
2569,49.65,0.111048351,,
2597,16.45,0.036037054,,
2599,7.5,0.015815635,,
2606,7.95,0.016832354,,
2615,10.5,0.022593764,,
2625,18.2,0.039990962,,
2641,14.7,0.032083145,,
2647,57.6,0.129010393,,
2652,11,0.023723452,,
2705,8.45,0.017962042,,
2722,4.35,0.008698599,,
2724,10,0.021464076,,
2769,10.05,0.021577045,,
2795,11,0.023723452,,
2797,23.8,0.05264347,,
2801,13.05,0.028355174,,
2804,5.5,0.011296882,,
2852,19.65,0.043267058,,
2873,12.6,0.027338455,,
2907,2.35,0.004179846,,
2909,68.7,0.154089471,,
2910,5.3,0.010845007,,
2911,4.05,0.008020786,,
2987,58.8,0.131721645,,
2991,5.9,0.012200633,,
2998,14.1,0.030727519,,
3029,11.4,0.024627203,,
3031,19.3,0.042476277,,
3040,5.75,0.011861726,,
3121,4.05,0.008020786,,
3129,85.2,0.191369182,,
3130,17.5,0.038409399,,
3137,13.5,0.029371893,,
3142,12.3,0.026660642,,
3187,9.8,0.021012201,,
3245,9.8,0.021012201,,
3272,13.1,0.028468143,,
3277,10.4,0.022367826,,
3287,5.1,0.010393131,,
3289,30.2,0.067103479,,
3290,32,0.071170357,,
3298,18.25,0.040103931,,
3302,5.4,0.011070944,,
3375,7.7,0.01626751,,
3376,4.1,0.008133755,,
3378,11.05,0.023836421,,
3413,25,0.055354722,,
3419,12.45,0.026999548,,
3420,16.1,0.035246272,,
3429,21,0.046317216,,
3434,4.3,0.00858563,,
3450,8.7,0.018526887,,
3452,71,0.159286037,,
3464,17,0.037279711,,
3482,34.05,0.075802079,,
3485,14.65,0.031970176,,
3500,31.4,0.069814731,,
3534,28.8,0.063940352,,
3552,12.2,0.026434704,,
3553,14.3,0.031179394,,
3557,9.2,0.019656575,,
3560,24.5,0.054225034,,
3566,12.9,0.028016268,,
3567,3.7,0.007230005,,
3568,31.7,0.070492544,,
3570,5.2,0.010619069,,
3623,8.7,0.018526887,,
3633,16.05,0.035133303,,
3638,23.25,0.051400813,,
3654,16.4,0.035924085,,
3668,16.2,0.03547221,,
3680,40.4,0.090149119,,
3681,24.7,0.054676909,,
3682,43.5,0.097153186,,
3686,10.7,0.023045639,,
3695,23.4,0.05173972,,
3718,20.4,0.044961591,,
3719,24.6,0.054450972,,
3739,3.5,0.006778129,,
3744,11.9,0.025756891,,
3773,38.4,0.085630366,,
3779,18.6,0.040894713,,
3814,37.7,0.084048803,,
3843,37.25,0.083032083,,
3883,62.7,0.140533213,,
3895,31.4,0.069814731,,
3919,8.7,0.018526887,,
3935,17.6,0.038635337,,
3937,26.55,0.058856756,,
3941,10.95,0.023610484,,
3945,3.4,0.006552192,,
3954,9.75,0.020899232,,
4010,10.05,0.021577045,,
4042,52.8,0.118165386,,
4071,4,0.007907817,,
4133,44.1,0.098508812,,
4165,84.4,0.189561681,,
4208,16.3,0.035698147,,
4211,5.8,0.011974695,,
4250,8.7,0.018526887,,
4285,20.3,0.044735653,,
4303,35.7,0.07953005,,
4308,11.4,0.024627203,,
4349,13.7,0.029823769,,
4350,7.5,0.015815635,,
4369,17.4,0.038183461,,
4378,8.7,0.018526887,,
4423,22.65,0.050045188,,
4435,7.5,0.015815635,,
4444,14.3,0.031179394,,
4470,3.8,0.007455942,,
4474,48.75,0.109014912,,
4484,35.1,0.078174424,,
4502,7.4,0.015589697,,
4551,20.8,0.045865341,,
4564,1.6,0.002485314,,
4575,6.2,0.012878446,,
4579,7.25,0.015250791,,
4584,26.6,0.058969724,,
4606,17.6,0.038635337,,
4642,51.9,0.116131948,,
4648,20.7,0.045639404,,
4703,17.7,0.038861274,,
4721,22.35,0.049367375,,
4726,39,0.086985992,,
4731,59.25,0.132738364,,
4734,7.35,0.015476728,,
4745,10.65,0.022932671,,
4808,5.35,0.010957976,,
4839,15.2,0.033212833,,
4844,23.25,0.051400813,,
4860,7.65,0.016154541,,
4864,21.1,0.046543154,,
4894,5.05,0.010280163,,
4908,14.35,0.031292363,,
4913,8.25,0.017510167,,
4925,4.55,0.009150474,,
4929,21.1,0.046543154,,
4935,14.8,0.032309083,,
4948,13.7,0.029823769,,
4949,31.05,0.069023949,,
4960,26.2,0.058065974,,
4996,7,0.014685947,,
5008,42.9,0.09579756,,
5021,35.35,0.078739268,,
5026,21,0.046317216,,
5047,21.9,0.048350655,,
5093,8.75,0.018639855,,
5111,9.15,0.019543606,,
5135,5.9,0.012200633,,
5198,5.2,0.010619069,,
5210,15,0.032760958,,
5232,180.5,0.406687754,,
5244,7.8,0.016493448,,
5340,4.05,0.008020786,,
5361,40.9,0.091278807,,
5370,24.5,0.054225034,,
5391,27.1,0.060099413,,
5410,7.4,0.015589697,,
5485,18.1,0.039765025,,
5511,5.55,0.011409851,,
5520,21.3,0.046995029,,
5523,3.7,0.007230005,,
5547,33.6,0.074785359,,
5619,49.05,0.109692725,,
5628,4.9,0.009941256,,
5631,5.2,0.010619069,,
5638,10.65,0.022932671,,
5640,13.2,0.02869408,,
5646,11.4,0.024627203,,
5699,16.7,0.036601898,,
5702,23.8,0.05264347,,
5740,29.5,0.065521916,,
5753,8.6,0.018300949,,
5755,26.5,0.058743787,,
5757,7.6,0.016041573,,
5765,23.5,0.051965657,,
5776,73.2,0.164256665,,
5788,3.6,0.007004067,,
5803,7,0.014685947,,
5807,40,0.089245368,,
5838,15.6,0.034116584,,
5851,11.2,0.024175328,,
5852,38,0.084726615,,
5893,3.45,0.00666516,,
5924,8.1,0.017171261,,
5930,11.95,0.02586986,,
5957,66.15,0.148328061,,
5966,24.2,0.053547221,,
5988,61,0.136692273,,
5989,4.4,0.008811568,,
6001,36.75,0.081902395,,
6020,13.2,0.02869408,,
6065,8,0.016945323,,
6110,4.9,0.009941256,,
6113,41.2,0.09195662,,
6119,9.2,0.019656575,,
6136,26.4,0.058517849,,
6147,32.75,0.072864889,,
6151,2.9,0.005422503,,
6164,15.5,0.033890646,,
6169,14.1,0.030727519,,
6183,34.2,0.076140985,,
6188,25.8,0.057162223,,
6191,3.95,0.007794849,,
6204,11.7,0.025305016,,
6236,11,0.023723452,,
6238,9.2,0.019656575,,
6245,15,0.032760958,,
6246,39.6,0.088341618,,
6264,64.5,0.14460009,,
6278,25.65,0.056823317,,
6306,30.2,0.067103479,,
6308,17.95,0.039426118,,
6326,3.05,0.00576141,,
6328,15,0.032760958,,
6330,4.95,0.010054225,,
6335,29.6,0.065747854,,
6369,29.4,0.065295978,,
6371,45.2,0.100994126,,
6375,12.75,0.027677361,,
6416,5.9,0.012200633,,
6463,8,0.016945323,,
6467,12.8,0.02779033,,
6484,5,0.010167194,,
6487,5.4,0.011070944,,
6488,82,0.184139178,,
6490,6.55,0.013669227,,
6498,9.45,0.020221419,,
6503,2,0.003389065,,
6504,3.65,0.007117036,,
6510,12,0.025982829,,
6525,19.05,0.041911432,,
6536,10.2,0.021915951,,
6538,7.8,0.016493448,,
6544,21.6,0.047672842,,
6562,4.45,0.008924537,,
6566,21.6,0.047672842,,
6606,41.4,0.092408495,,
6612,13.8,0.030049706,,
6650,13.6,0.029597831,,
6653,41.7,0.093086308,,
6658,9.9,0.021238138,,
6684,7.35,0.015476728,,
6688,9.5,0.020334388,,
6714,45.4,0.101446001,,
6720,7.5,0.015815635,,
6721,5.1,0.010393131,,
6728,9.5,0.020334388,,
6729,23.6,0.052191595,,
6751,5.6,0.01152282,,
6797,34.5,0.076818798,,
6798,25.7,0.056936286,,
6812,11.8,0.025530953,,
6845,8.75,0.018639855,,
6862,12.3,0.026660642,,
6863,34.8,0.077496611,,
6872,44.4,0.099186624,,
6888,28.2,0.062584727,,
6910,23,0.050835969,,
6913,13.95,0.030388613,,
6917,4.4,0.008811568,,
6948,10.7,0.023045639,,
6949,12.8,0.02779033,,
6971,46.65,0.104270221,,
6974,28.95,0.064279259,,
6987,10.3,0.022141889,,
6995,43,0.096023498,,
7008,17.5,0.038409399,,
7035,9.9,0.021238138,,
7037,52.8,0.118165386,,
7040,8.3,0.017623136,,
7045,9.45,0.020221419,,
7059,14.35,0.031292363,,
7070,13.5,0.029371893,,
7082,19.05,0.041911432,,
7097,8.1,0.017171261,,
7111,7.05,0.014798915,,
7121,5,0.010167194,,
7125,12.45,0.026999548,,
7126,19.25,0.042363308,,
7147,14.7,0.032083145,,
7150,30,0.066651604,,
7158,11.7,0.025305016,,
7163,8.95,0.019091731,,
7242,24.8,0.054902847,,
7283,23.7,0.052417533,,
7291,5.7,0.011748757,,
7296,2.9,0.005422503,,
7321,6.05,0.012539539,,
7326,10.2,0.021915951,,
7328,30.4,0.067555355,,
7344,15.75,0.03445549,,
7349,68.2,0.152959783,,
7401,17.3,0.037957524,,
7402,25.65,0.056823317,,
7418,31.7,0.070492544,,
7442,37.95,0.084613647,,
7473,47,0.105061003,,
7485,24,0.053095346,,
7493,11.05,0.023836421,,
7494,14.9,0.03253502,,
7508,57.4,0.128558518,,
7536,7.7,0.01626751,,
7544,7.5,0.015815635,,
7600,25.3,0.056032535,,
7601,12.15,0.026321735,,
7626,25.2,0.055806597,,
7631,106.6,0.239719837,,
7651,26.7,0.059195662,,
7674,13.35,0.029032987,,
7708,7.6,0.016041573,,
7709,19.2,0.042250339,,
7715,4.6,0.009263443,,
7741,22.25,0.049141437,,
7772,17.3,0.037957524,,
7776,10.1,0.021690014,,
7778,8.85,0.018865793,,
7787,20.5,0.045187528,,
7810,64.25,0.144035246,,
7811,8.3,0.017623136,,
7818,2.2,0.00384094,,
7824,16.3,0.035698147,,
7846,9.2,0.019656575,,
7879,18.3,0.0402169,,
7887,5.4,0.011070944,,
7897,9.1,0.019430637,,
7911,17.1,0.037505648,,
7930,39.2,0.087437867,,
7931,19.2,0.042250339,,
7939,14.5,0.03163127,,
7961,11.5,0.024853141,,
8001,29.1,0.064618165,,
8004,20.6,0.045413466,,
8055,7.55,0.015928604,,
8063,19.2,0.042250339,,
8069,3,0.005648441,,
8079,7.85,0.016606417,,
8080,15.5,0.033890646,,
8103,31.95,0.071057388,,
8112,13.9,0.030275644,,
8172,26.2,0.058065974,,
8174,24,0.053095346,,
8192,2.5,0.004518753,,
8199,3.6,0.007004067,,
8214,8.1,0.017171261,,
8235,6.6,0.013782196,,
8253,4.75,0.00960235,,
8266,10.7,0.023045639,,
8288,10.35,0.022254858,,
8307,13.85,0.030162675,,
8317,58.95,0.132060551,,
8338,30.2,0.067103479,,
8340,8,0.016945323,,
8349,18.4,0.040442838,,
8359,24,0.053095346,,
8360,21.6,0.047672842,,
8418,3.6,0.007004067,,
8444,16.6,0.03637596,,
8447,12.3,0.026660642,,
8467,2.35,0.004179846,,
8470,19.65,0.043267058,,
8521,24.2,0.053547221,,
8525,20.1,0.044283778,,
8545,34.5,0.076818798,,
8563,57.75,0.1293493,,
8574,14,0.030501582,,
8585,8.7,0.018526887,,
8596,108.15,0.243221871,,
8619,7,0.014685947,,
8625,3.1,0.005874379,,
8628,11.9,0.025756891,,
8648,2.05,0.003502033,,
8658,81.85,0.183800271,,
8659,18.9,0.041572526,,
8666,37.7,0.084048803,,
8693,7.95,0.016832354,,
8702,45,0.10054225,,
8747,22.9,0.050610032,,
8750,17.4,0.038183461,,
8770,14,0.030501582,,
8773,23.1,0.051061907,,
8785,2.65,0.004857659,,
8804,16.2,0.03547221,,
8818,39.4,0.087889742,,
8820,75,0.168323543,,
8839,6.6,0.013782196,,
8846,15.4,0.033664709,,
8854,14.85,0.032422052,,
8883,43.5,0.097153186,,
8899,9.7,0.020786263,,
8914,21.2,0.046769092,,
8915,3.8,0.007455942,,
8917,12.8,0.02779033,,
8932,2.15,0.003727971,,
8938,14.6,0.031857207,,
8963,9.2,0.019656575,,
8964,16.8,0.036827836,,
8972,19.5,0.042928152,,
8974,25.1,0.05558066,,
8996,10.8,0.023271577,,
9019,34.8,0.077496611,,
9030,34.2,0.076140985,,
9075,4.95,0.010054225,,
9078,9.8,0.021012201,,
9082,26.85,0.059534568,,
9090,34.05,0.075802079,,
9094,4.85,0.009828287,,
9097,17.1,0.037505648,,
9103,17.5,0.038409399,,
9106,31.2,0.069362856,,
9110,39.5,0.08811568,,
9114,9.85,0.021125169,,
9133,6.2,0.012878446,,
9188,12.8,0.02779033,,
9208,8.2,0.017397198,,
9211,6.6,0.013782196,,
9217,8.3,0.017623136,,
9226,10.2,0.021915951,,
9256,11.9,0.025756891,,
9267,24.4,0.053999096,,
9268,24.1,0.053321283,,
9287,34.25,0.076253954,,
9319,32.2,0.071622232,,
9372,22.8,0.050384094,,
9389,24.2,0.053547221,,
9402,17.85,0.039200181,,
9405,37.65,0.083935834,,
9406,33.9,0.075463172,,
9415,15.5,0.033890646,,
9466,17.3,0.037957524,,
9496,12.65,0.027451423,,
9528,115.85,0.260619069,,
9536,58,0.129914144,,
9541,14.5,0.03163127,,
9565,18,0.039539087,,
9592,4.7,0.009489381,,
9598,36.8,0.082015364,,
9608,4.2,0.008359693,,
9630,9.1,0.019430637,,
9636,21.4,0.047220967,,
9640,2.65,0.004857659,,
9657,30.9,0.068685043,,
9662,15.8,0.034568459,,
9670,13.6,0.029597831,,
9694,10.7,0.023045639,,
9697,3.1,0.005874379,,
9701,18.3,0.0402169,,
9703,13,0.028242205,,
9715,8.9,0.018978762,,
9717,59.9,0.134206959,,
9718,16.8,0.036827836,,
9723,31.5,0.070040669,,
9767,7.55,0.015928604,,
9774,18.9,0.041572526,,
9803,23.2,0.051287845,,
9875,4.7,0.009489381,,
9882,25.25,0.055919566,,
9905,5.15,0.0105061,,
9925,58.6,0.13126977,,
9937,12.6,0.027338455,,
9946,46.8,0.104609128,,
9963,20,0.04405784,,
9973,11.4,0.024627203,,
9985,24.3,0.053773159,,
10013,8.45,0.017962042,,
10058,55,0.123136014,,
10069,24.75,0.054789878,,
10071,12.3,0.026660642,,
10090,6.75,0.014121103,,
10097,16.4,0.035924085,,
10114,16.5,0.036150023,,
10121,9.6,0.020560325,,
10129,25.95,0.05750113,,
10135,36.9,0.082241301,,
10170,16.7,0.036601898,,
10172,3.7,0.007230005,,
10174,21.7,0.04789878,,
10211,9.3,0.019882512,,
10236,13.3,0.028920018,,
10256,23.3,0.051513782,,
10283,18.5,0.040668775,,
10285,14.3,0.031179394,,
10287,16,0.035020334,,
10304,17.4,0.038183461,,
10311,15.9,0.034794397,,
10330,5.45,0.011183913,,
10335,4.6,0.009263443,,
10402,24.3,0.053773159,,
10422,4.7,0.009489381,,
10441,7.1,0.014911884,,
10469,14.6,0.031857207,,
10497,5.7,0.011748757,,
10503,16.2,0.03547221,,
10525,10.7,0.023045639,,
10530,26,0.057614099,,
10546,6,0.01242657,,
10556,3.35,0.006439223,,
10563,8.7,0.018526887,,
10565,3.8,0.007455942,,
10575,56.5,0.126525079,,
10612,3,0.005648441,,
10617,15,0.032760958,,
10629,6.1,0.012652508,,
10635,31,0.068910981,,
10642,11.9,0.025756891,,
10648,26.65,0.059082693,,
10655,16.6,0.03637596,,
10668,16.65,0.036488929,,
10673,17.4,0.038183461,,
10682,37,0.082467239,,
10689,24,0.053095346,,
10692,22.05,0.048689562,,
10719,11.8,0.025530953,,
10721,1.9,0.003163127,,
10741,9,0.0192047,,
10751,3.1,0.005874379,,
10764,16.7,0.036601898,,
10768,82.8,0.185946679,,
10774,50.4,0.112742883,,
10828,13.25,0.028807049,,
10849,41.85,0.093425215,,
10855,33.3,0.074107546,,
10866,5.4,0.011070944,,
10888,18,0.039539087,,
10891,20.3,0.044735653,,
10904,30.1,0.066877542,,
10911,16.6,0.03637596,,
10927,12.95,0.028129236,,
10931,28.3,0.062810664,,
10933,44.2,0.098734749,,
10935,6.65,0.013895165,,
10968,53.55,0.119859919,,
10985,5.7,0.011748757,,
10987,6,0.01242657,,
10991,14.7,0.032083145,,
11020,81.6,0.183235427,,
11023,8.8,0.018752824,,
11048,7.6,0.016041573,,
11052,26,0.057614099,,
11055,23.6,0.052191595,,
11058,26.85,0.059534568,,
11060,4.3,0.00858563,,
11068,30,0.066651604,,
11072,13.8,0.030049706,,
11079,15.6,0.034116584,,
11081,43.2,0.096475373,,
11100,7.75,0.016380479,,
11108,11.4,0.024627203,,
11109,21.3,0.046995029,,
11118,55.3,0.123813827,,
11121,26.1,0.057840036,,
11127,5.1,0.010393131,,
11184,8.9,0.018978762,,
11187,17.1,0.037505648,,
11218,14.3,0.031179394,,
11243,15.7,0.034342521,,
11255,14.25,0.031066426,,
11295,57.8,0.129462268,,
11302,16.1,0.035246272,,
11308,10.8,0.023271577,,
11311,41,0.091504745,,
11331,21.8,0.048124718,,
11337,11.3,0.024401265,,
11350,47.6,0.106416629,,
11397,11.5,0.024853141,,
11438,3.8,0.007455942,,
11473,14.9,0.03253502,,
11479,5,0.010167194,,
11491,5.55,0.011409851,,
11515,5.45,0.011183913,,
11516,7.3,0.01536376,,
11517,16,0.035020334,,
11533,63,0.141211026,,
11541,12.3,0.026660642,,
11577,5.3,0.010845007,,
11678,40.65,0.090713963,,
11718,9.65,0.020673294,,
11732,32.7,0.07275192,,
11740,9,0.0192047,,
11763,2,0.003389065,,
11776,19.6,0.043154089,,
11802,9,0.0192047,,
11818,17.8,0.039087212,,
11827,20.2,0.044509715,,
11829,6,0.01242657,,
11836,17.45,0.03829643,,
11838,29.4,0.065295978,,
11888,2.4,0.004292815,,
11890,4.35,0.008698599,,
11897,4.4,0.008811568,,
11915,44.6,0.0996385,,
11970,18.4,0.040442838,,
11975,3.85,0.007568911,,
11998,28.4,0.063036602,,
12001,10.4,0.022367826,,
12016,9.6,0.020560325,,
12052,52.5,0.117487573,,
12086,8.25,0.017510167,,
12106,1.9,0.003163127,,
12117,15.9,0.034794397,,
12129,9.45,0.020221419,,
12134,24.9,0.055128784,,
12151,85.2,0.191369182,,
12174,11.3,0.024401265,,
12186,19.7,0.043380027,,
12188,15.2,0.033212833,,
12192,24.9,0.055128784,,
12210,5.5,0.011296882,,
12219,24.2,0.053547221,,
12250,12.7,0.027564392,,
12259,51.4,0.115002259,,
12266,39.6,0.088341618,,
12323,66,0.147989155,,
12330,15.6,0.034116584,,
12339,12.9,0.028016268,,
12354,5.9,0.012200633,,
12363,59.5,0.133303208,,
12425,15.5,0.033890646,,
12429,12.1,0.026208766,,
12434,13.1,0.028468143,,
12441,10.7,0.023045639,,
12466,8.05,0.017058292,,
12482,17.5,0.038409399,,
12494,20.5,0.045187528,,
12496,8.15,0.01728423,,
12509,25.2,0.055806597,,
12519,7.95,0.016832354,,
12523,9.95,0.021351107,,
12549,13.3,0.028920018,,
12551,5.6,0.01152282,,
12601,14.8,0.032309083,,
12603,6.3,0.013104383,,
12604,11.9,0.025756891,,
12608,4.1,0.008133755,,
12619,21,0.046317216,,
12621,8.8,0.018752824,,
12628,20.6,0.045413466,,
12645,14.3,0.031179394,,
12658,10.3,0.022141889,,
12672,26.55,0.058856756,,
12698,19.65,0.043267058,,
12701,5.95,0.012313601,,
12713,7.8,0.016493448,,
12717,5.8,0.011974695,,
12720,16.2,0.03547221,,
12731,16.85,0.036940804,,
12741,6.55,0.013669227,,
12747,13.35,0.029032987,,
12768,11.75,0.025417985,,
12787,27.25,0.060438319,,
12798,3.05,0.00576141,,
12807,38.1,0.084952553,,
12810,23.55,0.052078626,,
12845,15.3,0.033438771,,
12847,5,0.010167194,,
12848,4.1,0.008133755,,
12858,5.3,0.010845007,,
12884,7.8,0.016493448,,
12905,18.9,0.041572526,,
12910,4.25,0.008472662,,
12914,1.6,0.002485314,,
12920,4.75,0.00960235,,
12923,60.45,0.135449616,,
12945,36.6,0.081563488,,
12950,28.2,0.062584727,,
12978,7.4,0.015589697,,
12979,16,0.035020334,,
12981,11.1,0.02394939,,
12993,12.8,0.02779033,,
12997,11.55,0.024966109,,
13010,10.6,0.022819702,,
13012,13.8,0.030049706,,
13038,9.05,0.019317668,,
13049,5.1,0.010393131,,
13054,18.2,0.039990962,,
13057,6.8,0.014234071,,
13080,10.55,0.022706733,,
13088,5.7,0.011748757,,
13117,13.9,0.030275644,,
13144,16.1,0.035246272,,
13154,5.25,0.010732038,,
13157,17.3,0.037957524,,
13162,36.4,0.081111613,,
13178,71.85,0.161206507,,
13196,24.15,0.053434252,,
13203,13.15,0.028581112,,
13204,9.05,0.019317668,,
13251,6.65,0.013895165,,
13252,6.35,0.013217352,,
13261,51.7,0.115680072,,
13272,33,0.073429733,,
13317,13.75,0.029936737,,
13319,2.15,0.003727971,,
13327,34.8,0.077496611,,
13388,13.05,0.028355174,,
13411,7.2,0.015137822,,
13413,16.2,0.03547221,,
13426,34.8,0.077496611,,
13443,5.1,0.010393131,,
13463,12.6,0.027338455,,
13489,4.5,0.009037506,,
13491,16.95,0.037166742,,
13515,19.6,0.043154089,,
13526,6.9,0.014460009,,
13567,22.95,0.050723,,
13645,9.25,0.019769544,,
13655,11.35,0.024514234,,
13658,48.8,0.109127881,,
13672,9.35,0.019995481,,
13696,5.25,0.010732038,,
13699,18.7,0.041120651,,
13719,5.25,0.010732038,,
13745,57.25,0.128219611,,
13750,21.45,0.047333936,,
13760,22.4,0.049480343,,
13770,13.2,0.02869408,,
13795,7.35,0.015476728,,
13812,10.1,0.021690014,,
13820,2.4,0.004292815,,
13835,26.7,0.059195662,,
13845,22.7,0.050158156,,
13904,8.55,0.01818798,,
13905,29.8,0.066199729,,
13943,21.4,0.047220967,,
13950,4.9,0.009941256,,
13978,3.2,0.006100316,,
13987,12.4,0.026886579,,
13994,8.35,0.017736105,,
14002,17.9,0.03931315,,
14066,21.1,0.046543154,,
14078,5.9,0.012200633,,
14083,4.4,0.008811568,,
14092,6.4,0.013330321,,
14105,47.4,0.105964754,,
14131,6.8,0.014234071,,
14147,14.25,0.031066426,,
14149,18.6,0.040894713,,
14162,6.85,0.01434704,,
14183,6.3,0.013104383,,
14189,24.85,0.055015816,,
14195,49.3,0.110257569,,
14210,11.8,0.025530953,,
14231,7.35,0.015476728,,
14237,3.3,0.006326254,,
14243,7.4,0.015589697,,
14256,25.2,0.055806597,,
14257,4.3,0.00858563,,
14266,4.5,0.009037506,,
14271,6.05,0.012539539,,
14291,16.2,0.03547221,,
14293,29.6,0.065747854,,
14299,8.8,0.018752824,,
14303,7.8,0.016493448,,
14305,41.6,0.092860371,,
14314,12.35,0.02677361,,
14332,11.9,0.025756891,,
14356,63,0.141211026,,
14358,11.5,0.024853141,,
14377,14.9,0.03253502,,
14384,20.6,0.045413466,,
14401,16.3,0.035698147,,
14409,69.5,0.155896972,,
14423,10,0.021464076,,
14444,15.6,0.034116584,,
14445,5.1,0.010393131,,
14479,16.5,0.036150023,,
14482,11.2,0.024175328,,
14484,18,0.039539087,,
14494,7.2,0.015137822,,
14497,15.2,0.033212833,,
14508,21.3,0.046995029,,
14523,15.95,0.034907366,,
14532,35.1,0.078174424,,
14567,6.1,0.012652508,,
14582,4.65,0.009376412,,
14593,18.9,0.041572526,,
14609,9.25,0.019769544,,
14610,18.6,0.040894713,,
14629,21.7,0.04789878,,
14630,9.4,0.02010845,,
14643,4.6,0.009263443,,
14650,11.3,0.024401265,,
14669,14.25,0.031066426,,
14680,21.1,0.046543154,,
14725,3.55,0.006891098,,
14728,6.6,0.013782196,,
14757,36.45,0.081224582,,
14767,7.1,0.014911884,,
14785,8.85,0.018865793,,
14801,6.6,0.013782196,,
14803,9.5,0.020334388,,
14823,7.5,0.015815635,,
14833,14.6,0.031857207,,
